customerID,Name,Age,Gender,Race,Income_Level,Occupation
0,Katelyn,69,Male,Mixed,High,Doctor
1,Sara,68,Female,Hispanic,High,Retail Worker
2,Lee,22,Non-binary,Other,High,Software Engineer
3,William,72,Male,Other,Low,Software Engineer
4,Vernon,33,Non-binary,Black,High,Freelancer
5,Brian,86,Female,White,High,Freelancer
6,Ricky,71,Male,Other,Low,Software Engineer
7,Kathryn,86,Non-binary,Mixed,Low,Retail Worker
8,John,36,Female,Other,Low,Retail Worker
9,Kelly,26,Male,Black,Low,Software Engineer
10,Mark,29,Male,Other,Middle,Retail Worker
11,Michelle,70,Non-binary,Black,Middle,Retail Worker
12,Kelly,23,Male,Asian,Middle,Software Engineer
13,Jennifer,66,Non-binary,Other,Middle,Retail Worker
14,Donna,53,Female,White,High,Artist
15,Ann,28,Female,Other,Low,Retail Worker
16,Janice,33,Male,Black,Low,Teacher
17,James,48,Male,Other,Middle,Freelancer
18,Crystal,24,Non-binary,Other,High,Retail Worker
19,Jeremy,79,Male,Asian,High,Doctor
20,Dennis,73,Non-binary,White,Middle,Freelancer
21,John,53,Female,Mixed,High,Software Engineer
22,Mia,34,Male,Other,Low,Retail Worker
23,Shannon,34,Non-binary,Other,Middle,Artist
24,Anna,48,Male,Other,High,Retail Worker
25,Amanda,30,Non-binary,Asian,High,Freelancer
26,Steven,49,Male,Mixed,Middle,Software Engineer
27,Andrea,58,Male,White,Middle,Teacher
28,Elizabeth,60,Female,Asian,Middle,Artist
29,Joel,39,Female,Other,High,Retail Worker
30,Rodney,38,Female,Hispanic,Low,Doctor
31,Christopher,64,Non-binary,Asian,Low,Doctor
32,Christopher,87,Non-binary,Asian,Middle,Doctor
33,Elizabeth,18,Non-binary,Black,High,Doctor
34,Jeremy,86,Female,Asian,High,Freelancer
35,Brian,79,Female,Hispanic,Low,Teacher
36,Sarah,80,Female,Black,High,Artist
37,Joshua,86,Male,Black,High,Software Engineer
38,Mark,24,Non-binary,Asian,Middle,Software Engineer
39,Erika,53,Female,Mixed,High,Doctor
40,Paul,22,Male,White,High,Doctor
41,Larry,26,Female,Hispanic,High,Teacher
42,Donna,61,Male,Black,Middle,Doctor
43,Terri,86,Male,Black,Middle,Artist
44,Peter,84,Non-binary,Other,Low,Software Engineer
45,Eric,71,Male,Hispanic,Low,Freelancer
46,Judy,65,Female,Hispanic,High,Software Engineer
47,Michaela,42,Male,Asian,Low,Doctor
48,Jasmine,74,Female,White,Middle,Artist
49,Valerie,46,Non-binary,Black,Middle,Retail Worker
50,Karla,64,Non-binary,Other,Low,Software Engineer
51,Mariah,71,Male,Hispanic,High,Retail Worker
52,Kevin,21,Female,White,Low,Artist
53,Joseph,21,Female,Asian,High,Teacher
54,Amanda,22,Male,Mixed,High,Teacher
55,David,62,Male,Asian,Middle,Doctor
56,Joshua,82,Male,Black,High,Artist
57,Andrew,72,Female,Other,High,Software Engineer
58,Leslie,88,Female,Black,Middle,Software Engineer
59,Julie,38,Female,Mixed,High,Freelancer
60,Christine,36,Female,Other,High,Artist
61,Richard,38,Male,Black,Low,Software Engineer
62,Jacqueline,49,Male,Mixed,Low,Artist
63,Nathaniel,86,Non-binary,Asian,Low,Retail Worker
64,Jennifer,55,Female,Black,High,Freelancer
65,Jason,39,Non-binary,Mixed,Middle,Teacher
66,Erica,79,Non-binary,Asian,Low,Doctor
67,Christian,30,Male,White,Middle,Freelancer
68,Amanda,26,Non-binary,Asian,High,Software Engineer
69,Samantha,74,Non-binary,Black,High,Software Engineer
70,David,63,Non-binary,Black,Middle,Retail Worker
71,Brian,51,Male,Mixed,Middle,Retail Worker
72,Jill,68,Non-binary,White,Low,Retail Worker
73,Anita,21,Non-binary,Mixed,High,Doctor
74,Robert,83,Non-binary,Hispanic,Low,Freelancer
75,Jacob,25,Non-binary,Hispanic,Low,Retail Worker
76,Sharon,69,Male,Asian,Middle,Freelancer
77,John,83,Male,White,High,Teacher
78,Joseph,66,Female,Hispanic,High,Software Engineer
79,Christopher,60,Non-binary,Mixed,High,Retail Worker
80,Kevin,42,Male,Hispanic,Middle,Doctor
81,Bethany,27,Non-binary,Asian,High,Software Engineer
82,Shannon,52,Non-binary,Black,Middle,Retail Worker
83,Lauren,80,Male,Asian,Low,Retail Worker
84,Melissa,46,Non-binary,Other,Low,Retail Worker
85,Ethan,84,Female,Black,High,Software Engineer
86,Stephanie,78,Female,Black,Low,Freelancer
87,Jonathan,62,Female,Mixed,Middle,Software Engineer
88,Tammy,83,Female,Black,Low,Artist
89,Rebecca,34,Non-binary,White,Middle,Doctor
90,Nathan,42,Male,White,Middle,Doctor
91,Natalie,42,Non-binary,White,Low,Software Engineer
92,Bradley,55,Female,Mixed,Low,Teacher
93,Kristina,64,Non-binary,Asian,High,Artist
94,Derek,83,Non-binary,Hispanic,High,Retail Worker
95,Cindy,35,Non-binary,White,High,Teacher
96,Todd,83,Female,White,High,Artist
97,Michele,74,Male,White,Middle,Retail Worker
98,Patricia,19,Female,Hispanic,Low,Artist
99,Amber,59,Non-binary,Other,Low,Artist
100,Marvin,90,Non-binary,Mixed,Low,Artist
101,Ann,53,Non-binary,Asian,High,Doctor
102,Brittany,46,Male,Other,Low,Freelancer
103,Jimmy,64,Non-binary,Hispanic,Middle,Doctor
104,Lisa,29,Non-binary,Other,Middle,Artist
105,Philip,25,Male,Asian,High,Doctor
106,Kelly,81,Male,Mixed,Low,Artist
107,Lisa,61,Non-binary,Asian,High,Teacher
108,Crystal,19,Female,Asian,High,Software Engineer
109,Bryan,74,Female,Asian,Middle,Doctor
110,Kathy,86,Female,Black,Low,Software Engineer
111,Austin,47,Female,Asian,Middle,Freelancer
112,Robert,68,Male,Black,Low,Artist
113,Melody,27,Male,Black,Low,Artist
114,Carlos,68,Female,Other,Low,Freelancer
115,Alicia,23,Female,White,Middle,Doctor
116,Erin,39,Male,Hispanic,Low,Software Engineer
117,Joseph,23,Female,Asian,Low,Artist
118,Jacob,22,Male,Black,Low,Freelancer
119,Edward,31,Female,White,High,Retail Worker
120,Jared,73,Male,Hispanic,Middle,Freelancer
121,David,33,Female,Mixed,Low,Retail Worker
122,Jeremy,82,Non-binary,Other,High,Software Engineer
123,Christina,20,Male,Mixed,Low,Retail Worker
124,Tara,71,Non-binary,White,High,Software Engineer
